epoch,train_loss,train_acc,valid_loss,valid_acc
1,1.0069545619892624,0.6946911215782166,0.3897869537274043,0.8853012522061666
2,0.4346948631529538,0.8706793672633621,0.24233180284500122,0.9348159233729044
3,0.2818294606118832,0.9176958923069936,0.1722937449812889,0.9515684147675832
4,0.21624821986792223,0.935923621339618,0.14194718996683756,0.9594371418158213
5,0.18107545122785387,0.9466254295043226,0.1241402377684911,0.9638819793860117
6,0.15874931834778697,0.952330341878927,0.11072003468871117,0.9681403835614523
7,0.14054086087447293,0.9573927071859252,0.10318142424027126,0.9700935085614523
8,0.1311869946009708,0.9605717299119482,0.09238969534635544,0.9719371398289999
9,0.12200578878510673,0.9629353161128062,0.08483124896883965,0.9725881814956665
10,0.11288015221087437,0.9657760116289247,0.07898887619376183,0.9734286169211069

test_loss,test_acc
0.07249887846410275,0.9749960124492645

parameters
222360
