epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.7639817668581909,0.767996035656839,0.18147936960061392,0.9470466375350952
2,0.21217729235595129,0.9367645394127324,0.09461195518573125,0.9716116189956665
3,0.13694257190767326,0.9590420036945703,0.06887345140178998,0.9781723419825236
4,0.10912386342039648,0.9666804401379712,0.058523387958606087,0.9792850315570831
5,0.0896616464234748,0.9722010954371039,0.049501266330480576,0.9838659962018331
6,0.08233593123139075,0.9751978212932371,0.050022234519322716,0.9821318586667379
7,0.06986851933992135,0.9777542903738202,0.043030679846803345,0.9847360253334045
8,0.0650526059545436,0.9805847923710661,0.04606449666122595,0.9833007752895355
9,0.0634301999970427,0.9800120265978687,0.037738317623734474,0.987745612859726
10,0.05645366694848492,0.9825798655455967,0.0362544326732556,0.988506148258845
11,0.05344800285573276,0.9829162325499192,0.03416781313717365,0.9888050357500712
12,0.049117809161543846,0.9846302147181529,0.03276738338172436,0.9893998503684998
13,0.04634391983865567,0.9854123277484246,0.03540673820922772,0.9890743295351664
14,0.042457487504437286,0.9869498936635144,0.028251677751541138,0.989941398302714
15,0.040319284951349475,0.9874658134748351,0.030209476438661415,0.9912168482939402
16,0.03817079341003917,0.9880871918966185,0.02909249470879634,0.9901840587457021
17,0.037317764154582656,0.9883937633262491,0.03256174984077612,0.989941398302714
18,0.03780894578908974,0.9878762758003091,0.023505440292259056,0.9924360712369283
19,0.03395021654103162,0.989512635851806,0.028504908395310242,0.9911606212457021
20,0.032077892841595526,0.9898227363262536,0.02859209819386403,0.990429679552714

test_loss,test_acc
0.023940357426181436,0.9910395383834839



parameters
421642
