epoch,train_loss,train_acc,valid_loss,valid_acc
1,1.1016932321044635,0.6555662886151727,0.36973213652769726,0.9023585418860117
2,0.46931776516842394,0.8594753607264105,0.23610652734835944,0.9337860941886902
3,0.2958669015821421,0.9115334726729483,0.1658180058002472,0.9496744771798452
4,0.2204206982311213,0.9348882537967754,0.12641151994466782,0.9647786418596903
5,0.18150417141194614,0.9446405487240486,0.11179582277933757,0.9674064815044403
6,0.15675980668022949,0.9531845889001522,0.10350475087761879,0.9678414960702261
7,0.1381545145556612,0.9579905620161092,0.0931337798635165,0.9705817898114523
8,0.12588265552273337,0.9606587616902478,0.0879918560385704,0.9732628961404165
9,0.12104173609108296,0.962583267463828,0.07828373958667119,0.9749171336491903
10,0.10839303020598753,0.9669905406124187,0.0675398800522089,0.9801787336667379

test_loss,test_acc
0.07270080000162124,0.9770009517669678

parameters
279935
