epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.9474003258741127,0.6683141330503067,0.6187817056973776,0.7662967542807261
2,0.6387616632119665,0.7641470229850625,0.5546323855717977,0.7957386275132498
3,0.581518365527099,0.7847183447963787,0.5108680576086044,0.8138523896535238
4,0.5371014723237956,0.8032118745569913,0.4726874828338623,0.8261925876140594
5,0.5053645968437195,0.8128477357468515,0.44359151522318524,0.8325875898202261
6,0.4801784585107048,0.823174756652904,0.43551693360010785,0.8415394127368927
7,0.4648051216917218,0.8301937748801034,0.42097169657548267,0.8437322378158569
8,0.4524290353622077,0.8327984641183097,0.43456997474034625,0.8390447398026785
9,0.44475911979405386,0.8358414510511002,0.40022719899813336,0.8479906419912974
10,0.4352879012530705,0.8381732825963002,0.4047070691982905,0.8487008710702261

test_loss,test_acc
0.40992932915687563,0.8505420923233032

parameters
222360
